DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,DiscapacidadDelSolicitante,NumeroDeTitularesConAlgunaDiscapacidad
Santander,Cerrito,68162,No,9
Antioquia,Turbo,05837,No,2218
Valle Del Cauca,Restrepo,76606,No,16
Arauca,Puerto Rondón,81591,Si,4
Antioquia,Puerto Nare,05585,Si,6
Cauca,Cajibío,19130,No,525
Meta,Puerto Rico,50590,Si,102
Chocó,San José Del Palmar,27660,Si,22
Cundinamarca,Cabrera,25120,Si,3
Atlántico,Polonuevo,08558,No,4
Boyacá,Buenavista,15109,No,1
Cesar,El Copey,20238,No,561
Bolívar,Altos Del Rosario,13030,Si,5
Tolima,Natagaima,73483,Si,27
Bolívar,San Juan Nepomuceno,13657,No Reporta,1
Córdoba,Cotorra,23300,No,2
Cundinamarca,Nilo,25488,No,3
Cauca,Paez,19517,Si,22
Boyacá,Páez,15514,Si,6
Cesar,Becerril,20045,Si,50
Putumayo,San Francisco,86755,Si,8
Antioquia,Apartadó,05045,No,657
Cesar,El Paso,20250,Si,10
Valle Del Cauca,Guacarí,76318,No,16
Antioquia,Dabeiba,05234,No,452
Cauca,Morales,19473,Si,27
Caquetá,Solano,18756,Si,50
Caldas,Samaná,17662,No,946
Bolívar,Santa Catalina,13673,No,9
Cundinamarca,Paratebueno,25530,No,37
Tolima,Alpujarra,73024,Si,6
Tolima,Honda,73349,Si,1
Antioquia,Tarazá,05790,Si,73
Magdalena,Santa Ana,47707,No,109
Huila,Palestina,41530,Si,1
Bolívar,Norosí,13490,Si,7
Córdoba,Los Córdobas,23419,No,20
Santander,Santa Bárbara,68705,No,1
Antioquia,San Francisco,05652,Si,12
Antioquia,Zaragoza,05895,Si,27
Risaralda,La Celia,66383,Si,2
Antioquia,Concepción,05206,No,23
Antioquia,La Unión,05400,No,29
Norte Santander,Abrego,54003,No,205
Bolívar,Cantagallo,13160,Si,13
Bolívar,Tiquisio,13810,Si,13
Cundinamarca,Uutica,25851,No,2
Boyacá,Quípama,15580,No,19
Putumayo,Puerto Leguízamo,86573,Si,71
Valle Del Cauca,Trujillo,76828,No,278
Santander,Gambita,68298,No,5
Tolima,Ambalema,73030,No,68
Norte Santander,Salazar,54660,Si,8
Santander,Florián,68271,No,5
Antioquia,Yalí,05885,Si,4
Santander,Charalá,68167,Si,2
Antioquia,El Carmen De Viboral,05148,Si,21
Antioquia,Sabanalarga,05628,No,26
Atlántico,Manatí,08436,No,12
Sucre,Palmito,70523,Si,3
Amazonas,Puerto Alegría,91530,No,5
Cauca,Inzá,19355,Si,12
Putumayo,Puerto Caicedo,86569,Si,102
Norte Santander,Sardinata,54720,Si,55
La Guajira,Distracción,44098,Si,7
Risaralda,Santa Rosa De Cabal,66682,No,6
Nariño,La Llanada,52385,Si,2
Tolima,Ibagué,73001,No,280
Guainía,Inírida,94001,Si,2
Santander,Barrancabermeja,68081,No,631
Boyacá,Macanal,15425,No,4
Huila,Colombia,41206,Si,14
Bolívar,Pinillos,13549,No,20
Valle Del Cauca,Yotoco,76890,Si,3
La Guajira,Dibulla,44090,Si,28
Cauca,Cajibío,19130,Si,193
La Guajira,Riohacha,44001,No,272
Vichada,Puerto Carreño,99001,No,54
Cundinamarca,Soacha,25754,Si,11
Norte Santander,Gramalote,54313,Si,2
Vaupés,Yavaraté,97889,No,1
Meta,Puerto López,50573,Si,27
Nariño,Mallama,52435,No,47
Cundinamarca,La Mesa,25386,No,7
Magdalena,Plato,47555,No,225
Bolívar,Talaigua Nuevo,13780,No,4
Tolima,Coello,73200,Si,1
Cesar,San Martín,20770,No Reporta,1
Boyacá,Almeida,15022,No,2
Putumayo,San Miguel,86757,No,801
Antioquia,Ituango,05361,Si,61
Huila,Pitalito,41551,Si,17
Bolívar,Simití,13744,Si,13
Córdoba,Puerto Escondido,23574,Si,7
Antioquia,Yondó,05893,No Reporta,1
Caquetá,San Vicente Del Caguán,18753,No,808
Antioquia,Sonsón,05756,Si,50
Cauca,Popayán,19001,No,322
Caldas,Anserma,17042,Si,11
Cesar,Río De Oro,20614,Si,11
Tolima,Icononzo,73352,Si,11
Antioquia,Betulia,05093,No,60
Atlántico,Galapa,08296,No,8
Risaralda,Quinchía,66594,No,262
Valle Del Cauca,San Pedro,76670,Si,7
Antioquia,Venecia,05861,No,13
Sucre,Majagual,70429,No,68
Santander,Macaravita,68425,No,25
Nariño,Cumbitara,52233,No,184
Cundinamarca,Sibaté,25740,No,6
Norte Santander,La Playa,54398,Si,2
Bolívar,El Guamo,13248,No,42
Córdoba,Montelíbano,23466,No,251
Casanare,Monterrey,85162,Si,10
Magdalena,Zona Bananera,47980,Si,45
Cundinamarca,Guayabal De Siquima,25328,No,18
Huila,Hobo,41349,Si,1
Santander,Macaravita,68425,Si,2
Meta,Castilla La Nueva,50150,No,10
Nariño,La Tola,52390,Si,8
Norte Santander,Lourdes,54418,No,3
Chocó,Riosucio,27615,No,1202
Córdoba,San Bernardo Del Viento,23675,Si,1
Nariño,Los Andes,52418,Si,27
Cundinamarca,Guayabetal,25335,No,14
Santander,Molagavita,68468,No,6
Huila,Baraya,41078,No,193
Nariño,Magüi,52427,No,108
Magdalena,Pedraza,47541,Si,1
Huila,Algeciras,41020,No,208
Nariño,La Unión,52399,Si,17
Cundinamarca,Gutiérrez,25339,Si,1
Boyacá,Caldas,15131,No,2
Norte Santander,Silos,54743,No,2
Bolívar,Arjona,13052,Si,9
Córdoba,San Bernardo Del Viento,23675,No,14
Cauca,López,19418,Si,16
Santander,Tona,68820,No,1
Amazonas,El Encanto,91263,Si,1
Cundinamarca,Tibacuy,25805,Si,4
Antioquia,Turbo,05837,No Reporta,1
Meta,Vistahermosa,50711,Si,92
Antioquia,Yondó,05893,Si,35
Córdoba,San Pelayo,23686,Si,1
Boyacá,Berbeo,15090,No,4
Sucre,San Onofre,70713,Si,36
Antioquia,Alejandría,05021,Si,1
Bolívar,Barranco De Loba,13074,No,60
Cundinamarca,Fusagasugá,25290,No,26
Caldas,Palestina,17524,No,3
Huila,Algeciras,41020,Si,35
Norte Santander,Arboledas,54051,Si,14
Risaralda,Mistrató,66456,No,84
Tolima,Saldaña,73671,Si,2
Boyacá,Aquitania,15047,No,39
Bolívar,San Fernando,13650,No,1
Boyacá,Tutazá,15839,No,1
Magdalena,Sitionuevo,47745,Si,25
Santander,Charalá,68167,No,5
Valle Del Cauca,Cali,76001,No,275
Cundinamarca,Facatativá,25269,No,1
Antioquia,Ituango,05361,No,269
Antioquia,Caramanta,05145,No,18
Cesar,Aguachica,20011,Si,31
Cundinamarca,El Peñón,25258,No,61
Cauca,Mercaderes,19450,Si,3
Cundinamarca,Tocancipá,25817,Si,1
Antioquia,Apartadó,05045,Si,102
Cesar,Aguachica,20011,No,187
Córdoba,Valencia,23855,Si,98
La Guajira,San Juan Del Cesar,44650,No,65
Casanare,Pore,85263,No,98
Antioquia,Sopetrán,05761,Si,2
Tolima,Villahermosa,73870,Si,24
Risaralda,Guática,66318,Si,9
Cauca,San Sebastián,19693,No,63
Casanare,Sabanalarga,85300,Si,1
Antioquia,Puerto Nare,05585,No,50
Magdalena,El Retén,47268,No,18
Cundinamarca,Apulo,25599,No,9
Antioquia,San Luis,05660,No,319
Risaralda,Dosquebradas,66170,No,20
Huila,Garzón,41298,No,86
Chocó,Nóvita,27491,Si,5
Córdoba,Ure,23682,No,364
Antioquia,Rionegro,05615,Si,1
Bolívar,Magangué,13430,Si,2
Cundinamarca,La Palma,25394,No,710
Antioquia,Arboletes,05051,No Reporta,1
Boyacá,Socotá,15755,Si,22
Santander,Lebríja,68406,Si,21
Caldas,Villamaría,17873,No,17
Nariño,Albán,52019,No,176
Bolívar,El Peñón,13268,No,5
Boyacá,Zetaquira,15897,Si,1
Cundinamarca,Paime,25518,No,10
Cauca,Patía,19532,Si,44
Norte Santander,Santiago,54680,Si,2
Magdalena,El Retén,47268,Si,2
Huila,Villavieja,41872,No,28
Santander,Curití,68229,No,0
Bolívar,Turbaná,13838,Si,2
Tolima,Cunday,73226,No,125
Córdoba,Puerto Libertador,23580,Si,24
Boyacá,Susacón,15774,No,4
Sucre,Sampués,70670,No,8
Quindío,Circasia,63190,No,5
Huila,Rivera,41615,Si,5
Bolívar,Cantagallo,13160,No,103
Cauca,El Tambo,19256,No,731
Norte Santander,Tibú,54810,No,1420
Bolívar,Córdoba,13212,Si,36
Santander,Páramo,68533,No,1
Putumayo,Puerto Caicedo,86569,No,612
Nariño,San Bernardo,52685,No,8
Cauca,Sucre,19785,No,51
Boyacá,Paipa,15516,Si,5
Santander,Suratá,68780,Si,3
Boyacá,Tunja,15001,No,2
Córdoba,Cereté,23162,No,11
Boyacá,Páez,15514,No,71
Nariño,Los Andes,52418,No,479
Huila,Neiva,41001,No,181
Magdalena,Ciénaga,47189,No,800
Atlántico,Luruaco,08421,No,10
Huila,Oporapa,41503,No,18
Antioquia,Barbosa,05079,No,44
Nariño,Arboleda,52051,No,2
Antioquia,Santa Bárbara,05679,No,25
Sucre,San Pedro,70717,No,101
Cundinamarca,Fomeque,25279,No,6
Norte Santander,Puerto Santander,54553,No,7
Santander,Bucaramanga,68001,No,44
Santander,Matanza,68444,No,60
Cesar,Manaure,20443,No,58
Valle Del Cauca,Jamundí,76364,Si,42
Antioquia,Caracolí,05142,No,6
Amazonas,La Chorrera,91405,No,1
Boyacá,Guayatá,15325,No,3
Sucre,Corozal,70215,No,31
Cesar,La Gloria,20383,No,483
Magdalena,Fundación,47288,No,350
Córdoba,Moñitos,23500,Si,1
Cundinamarca,Guayabal De Siquima,25328,Si,1
Cauca,El Tambo,19256,Si,100
Boyacá,Puerto Boyacá,15572,Si,8
Nariño,Roberto Payán,52621,Si,24
Córdoba,Valencia,23855,No Reporta,3
Santander,El Playón,68255,Si,18
Tolima,Espinal,73268,No,2
Cundinamarca,Topaipí,25823,No,44
Sucre,Buenavista,70110,No,22
Cundinamarca,Guayabetal,25335,Si,4
Antioquia,Santo Domingo,05690,No,69
Vichada,La Primavera,99524,No,118
Atlántico,Usiacurí,08849,No,1
Magdalena,Ariguaní,47058,Si,10
Huila,Tarqui,41791,No,8
Meta,San Juan De Arama,50683,No,183
Boyacá,Panqueba,15522,Si,0
Nariño,Santacruz,52699,Si,9
Antioquia,San Rafael,05667,No,199
Santander,Málaga,68432,No,8
Putumayo,Puerto Leguízamo,86573,No,442
Bolívar,Montecristo,13458,Si,14
Norte Santander,Pamplona,54518,Si,2
Córdoba,Chimá,23168,Si,4
Antioquia,Puerto Berrío,05579,Si,6
Norte Santander,Toledo,54820,Si,4
Cundinamarca,Beltrán,25086,No,8
Antioquia,Murindó,05475,Si,1
Sucre,Morroa,70473,No,406
Córdoba,Buenavista,23079,Si,3
Valle Del Cauca,Vijes,76869,No,16
Bolívar,Córdoba,13212,No,226
Tolima,Cunday,73226,Si,14
Cundinamarca,Guaduas,25320,Si,2
Córdoba,Pueblo Nuevo,23570,No,262
Antioquia,Vegachí,05858,Si,6
Bolívar,El Carmen De Bolívar,13244,Si,154
Caquetá,Cartagena Del Chairá,18150,Si,155
Antioquia,Santa Rosa De Osos,05686,Si,3
Huila,Neiva,41001,Si,40
Guainía,Morichal,94888,No,1
Cundinamarca,Nocaima,25491,Si,1
Casanare,La Salina,85136,Si,1
Tolima,Villahermosa,73870,No,123
Casanare,Sácama,85315,Si,1
Magdalena,Aracataca,47053,Si,47
Chocó,Río Iro,27580,No,57
Meta,Puerto Gaitán,50568,No,516
Vichada,Cumaribo,99773,No,787
Tolima,San Luis,73678,No,60
Cauca,Miranda,19455,No,57
Putumayo,Sibundoy,86749,Si,1
Quindío,Quimbaya,63594,Si,1
Cesar,El Copey,20238,Si,64
Meta,Castilla La Nueva,50150,Si,2
Bogotá D.C.,Bogotá,11001,No,284
Boyacá,Socotá,15755,No,29
Córdoba,Planeta Rica,23555,No,38
Tolima,Murillo,73461,No,36
Meta,Puerto Concordia,50450,No,215
Casanare,Monterrey,85162,No,86
Guaviare,El Retorno,95025,No,215
Valle Del Cauca,Alcalá,76020,Si,1
Antioquia,San José De La Montaña,05658,No,2
Norte Santander,Ocaña,54498,Si,25
Norte Santander,Cachirá,54128,Si,14
Tolima,Coyaima,73217,No,212
Chocó,Tadó,27787,No,193
Córdoba,Tierralta,23807,No,932
Antioquia,Concepción,05206,Si,4
Cauca,Totoró,19824,No,22
Guainía,Puerto Colombia,94884,No,1
Cauca,Totoró,19824,Si,63
Magdalena,Pivijay,47551,No,663
Antioquia,Girardota,05308,Si,2
Valle Del Cauca,Buenaventura,76109,Si,125
Casanare,Villanueva,85440,Si,2
Cundinamarca,Sasaima,25718,No,21
Huila,San Agustín,41668,No,61
Putumayo,Orito,86320,Si,152
Boyacá,San Mateo,15673,Si,1
Tolima,Coyaima,73217,Si,27
Cauca,Silvia,19743,Si,6
Santander,Charta,68169,Si,2
Huila,Pital,41548,Si,1
Santander,California,68132,No,3
Cundinamarca,La Vega,25402,No,2
Nariño,Belén,52083,Si,5
Córdoba,Ciénaga De Oro,23189,No,6
Bolívar,Santa Rosa,13683,Si,1
La Guajira,El Molino,44110,Si,5
Valle Del Cauca,San Pedro,76670,No,66
Norte Santander,Cachirá,54128,No,61
Nariño,Colón,52203,Si,4
Nariño,Cumbitara,52233,Si,14
Huila,Santa María,41676,Si,6
Chocó,Acandí,27006,No,144
Norte Santander,Toledo,54820,No,34
Santander,Simacota,68745,No,225
Nariño,Ricaurte,52612,No,91
Santander,Coromoro,68217,Si,1
Cauca,Puracé,19585,No,70
Cesar,Gamarra,20295,No,40
Chocó,Atrato,27050,Si,1
Boyacá,Guacamayas,15317,No,1
Valle Del Cauca,Andalucía,76036,Si,1
Bolívar,Turbaná,13838,No,32
Huila,Acevedo,41006,No,91
Casanare,Paz De Ariporo,85250,Si,12
Santander,El Playón,68255,No,94
Valle Del Cauca,Guacarí,76318,Si,4
Huila,La Argentina,41378,Si,8
Atlántico,Barranquilla,08001,No,138
Antioquia,Guadalupe,05315,No,4
Nariño,Leiva,52405,Si,14
Bolívar,San Pablo,13670,Si,24
Putumayo,Colón,86219,Si,1
Santander,Málaga,68432,Si,3
Tolima,Melgar,73449,Si,2
Casanare,Pore,85263,Si,8
Tolima,Icononzo,73352,No,109
Casanare,San Luis De Palenque,85325,Si,3
Santander,Sabana De Torres,68655,Si,61
Boyacá,Campohermoso,15135,No,4
Cauca,Puracé,19585,Si,10
Meta,Mesetas,50330,No,423
Antioquia,Sonsón,05756,No,436
Antioquia,San Francisco,05652,No,196
Antioquia,Angostura,05038,No,45
Huila,Paicol,41518,No,4
Meta,Barranca De Upía,50110,Si,1
Antioquia,Armenia,05059,No,16
Sucre,San Juan De Betulia,70702,No,16
Antioquia,Amagá,05030,No,16
Boyacá,Boavita,15097,Si,1
Valle Del Cauca,Jamundí,76364,No,235
Antioquia,Chigorodó,05172,No,410
Cauca,Piendamó,19548,No,36
Caldas,Chinchiná,17174,No,4
Antioquia,Cáceres,05120,No,975
Cauca,San Sebastián,19693,Si,7
Meta,Puerto Lleras,50577,No,346
Meta,Restrepo,50606,Si,3
Cauca,Almaguer,19022,No,79
Santander,San Joaquín,68682,Si,1
Cundinamarca,Tibacuy,25805,No,20
Córdoba,Montería,23001,No,1125
Santander,Betulia,68092,No,99
La Guajira,Albania,44035,No,22
Cauca,Mercaderes,19450,No,94
Antioquia,Fredonia,05282,Si,1
Bolívar,El Peñón,13268,Si,1
Chocó,Acandí,27006,Si,21
Quindío,Salento,63690,Si,2
Valle Del Cauca,La Victoria,76403,No,4
Cesar,Pelaya,20550,Si,44
Magdalena,El Banco,47245,No,37
Cesar,Valledupar,20001,Si,93
Risaralda,Pueblo Rico,66572,No,250
Magdalena,Ciénaga,47189,Si,80
Santander,Sabana De Torres,68655,No,427
Magdalena,Puebloviejo,47570,Si,22
Boyacá,Belén,15087,No,1
Huila,San Agustín,41668,Si,9
Nariño,El Charco,52250,No,91
Cesar,Pailitas,20517,Si,32
Cundinamarca,Gachalá,25293,Si,2
Amazonas,El Encanto,91263,No,3
Casanare,Tauramena,85410,No,115
Santander,Valle De San José,68855,No,1
Meta,Puerto Concordia,50450,Si,18
Cesar,La Jagua De Ibirico,20400,Si,77
Caquetá,Curillo,18205,Si,23
Cundinamarca,Guataquí,25324,Si,1
Huila,Suaza,41770,Si,3
Antioquia,Carepa,05147,No,208
Huila,Tello,41799,No,78
Chocó,Bojayá,27099,No,51
Meta,El Castillo,50251,Si,85
Bolívar,Simití,13744,No,178
Caldas,Marulanda,17446,No,23
Cauca,Santander De Quilichao,19698,Si,23
Huila,Teruel,41801,No,7
Cundinamarca,Caparrapí,25148,No,67
Cauca,Corinto,19212,No,92
Caldas,Salamina,17653,Si,4
Boyacá,San Luis De Gaceno,15667,Si,3
Antioquia,Jericó,05368,Si,1
Cesar,Becerril,20045,No,481
Risaralda,La Virginia,66400,No,4
Cauca,Piamonte,19533,No,374
Tolima,Piedras,73547,No,26
Nariño,Aldana,52022,Si,1
Casanare,Orocué,85230,No,117
Antioquia,Titiribí,05809,Si,1
Bolívar,Montecristo,13458,No,78
Chocó,Medio Atrato,27425,Si,13
Antioquia,Chigorodó,05172,Si,62
Boyacá,Cubará,15223,No,20
Caldas,Pensilvania,17541,No,367
Bolívar,San Jacinto Del Cauca,13655,Si,3
Santander,El Peñón,68250,Si,11
Caquetá,La Montañita,18410,Si,73
Bolívar,Cicuco,13188,No,1
Santander,San Joaquín,68682,No,2
Magdalena,Chibolo,47170,Si,39
Antioquia,Betulia,05093,Si,5
Valle Del Cauca,Obando,76497,Si,3
Antioquia,San Juan De Urabá,05659,No,34
Bogotá D.C.,Bogotá,11001,Si,69
Boyacá,Viracachá,15879,No,1
Cauca,Corinto,19212,Si,10
Risaralda,La Virginia,66400,Si,2
Córdoba,Puerto Libertador,23580,No Reporta,1
Bolívar,Soplaviento,13760,No,3
Huila,Aipe,41016,Si,6
Cundinamarca,Arbeláez,25053,Si,23
Boyacá,San Eduardo,15660,No,2
Magdalena,Fundación,47288,Si,46
Huila,Iquira,41357,No,66
Cauca,Argelia,19050,No,347
Casanare,Trinidad,85430,Si,3
Huila,Palermo,41524,Si,8
Norte Santander,El Tarra,54250,No,150
Magdalena,Pijiño Del Carmen,47545,No,19
Caquetá,Morelia,18479,No,69
Bolívar,Clemencia,13222,No,22
Nariño,Santacruz,52699,No,69
Boyacá,Pesca,15542,Si,2
Antioquia,Caldas,05129,Si,3
Caldas,Manzanares,17433,No,28
Cundinamarca,La Peña,25398,No,24
Nariño,Consaca,52207,Si,1
Bolívar,Turbaco,13836,Si,3
Caquetá,Morelia,18479,Si,14
Cundinamarca,Villapinzón,25873,No,4
Magdalena,El Piñon,47258,No,148
Cundinamarca,Tena,25797,Si,2
Cundinamarca,San Antonio Del Tequendama,25645,No,1
Cesar,Chimichagua,20175,No,163
Sucre,Coloso,70204,No,212
Antioquia,Necoclí,05490,No,652
Magdalena,Pijiño Del Carmen,47545,Si,3
Antioquia,La Unión,05400,Si,7
Cundinamarca,Vergara,25862,No,20
Cundinamarca,El Peñón,25258,Si,3
Magdalena,Concordia,47205,Si,1
Santander,San Vicente De Chucurí,68689,Si,44
Cundinamarca,San Antonio Del Tequendama,25645,Si,1
Tolima,Roncesvalles,73622,No,128
Valle Del Cauca,Tuluá,76834,No,445
Cauca,Florencia,19290,Si,1
Santander,El Carmen De Chucurí,68235,Si,47
Guaviare,Miraflores,95200,Si,116
Córdoba,Puerto Libertador,23580,No,177
Sucre,Morroa,70473,Si,39
Atlántico,Sabanalarga,08638,No,18
Cundinamarca,Albán,25019,No,11
Sucre,Sucre,70771,No,52
Cundinamarca,Pacho,25513,Si,4
Santander,Confines,68209,No,1
Nariño,El Tablón De Gómez,52258,Si,74
Arauca,Arauca,81001,No,119
Nariño,Tangua,52788,No,165
Tolima,Honda,73349,No,14
Valle Del Cauca,Riofrío,76616,No,112
Tolima,Coello,73200,No,1
Meta,Puerto Gaitán,50568,Si,54
Boyacá,Puerto Boyacá,15572,No,67
Arauca,Cravo Norte,81220,Si,9
Nariño,Francisco Pizarro,52520,No,37
Cundinamarca,Quipile,25596,Si,5
Antioquia,San Pedro,05664,No,6
Antioquia,Peque,05543,Si,6
Cundinamarca,Pulí,25580,Si,8
Atlántico,Ponedera,08560,Si,1
Boyacá,Arcabuco,15051,No,1
Valle Del Cauca,Restrepo,76606,Si,5
Nariño,El Tambo,52260,No,21
Valle Del Cauca,Calima,76126,No,106
Cundinamarca,Nariño,25483,Si,1
Córdoba,La Apartada,23350,No,15
Cundinamarca,Jerusalén,25368,No,8
Sucre,San Marcos,70708,Si,8
Córdoba,Valencia,23855,No,889
Bolívar,San Estanislao,13647,Si,10
Guaviare,San José Del Guaviare,95001,No,763
Cundinamarca,Sesquilé,25736,Si,1
Santander,Oiba,68500,No,7
Cundinamarca,Guachetá,25317,No,1
Antioquia,Arboletes,05051,Si,18
Sucre,Ovejas,70508,No,808
Bolívar,Norosí,13490,No,25
Cundinamarca,Jerusalén,25368,Si,1
Cauca,Buenos Aires,19110,No,157
Caquetá,Solano,18756,No,187
Norte Santander,San Calixto,54670,No,77
Cesar,San Alberto,20710,No,397
Huila,Altamira,41026,No,3
Tolima,Carmen De Apicalá,73148,No,3
Norte Santander,Bochalema,54099,No,5
Norte Santander,Villa Del Rosario,54874,Si,10
Valle Del Cauca,Guadalajara De Buga,76111,No,205
Bolívar,Santa Catalina,13673,Si,2
Antioquia,Buriticá,05113,Si,1
Magdalena,Sabanas de San Ángel,47660,No,407
Cauca,La Sierra,19392,No,92
Chocó,El Carmen De Atrato,27245,Si,13
Caldas,Samaná,17662,Si,132
Guainía,San Felipe,94883,No,3
Boyacá,Labranzagrande,15377,Si,9
Huila,Colombia,41206,No,103
Norte Santander,El Zulia,54261,No,185
Magdalena,Nueva Granada,47460,Si,0
Valle Del Cauca,Florida,76275,Si,10
Tolima,Guamo,73319,No,14
Huila,La Plata,41396,No,85
Nariño,Ipiales,52356,No,227
Huila,Isnos,41359,Si,6
Antioquia,Giraldo,05306,No,17
Cundinamarca,La Peña,25398,Si,7
Nariño,Guachucal,52317,No,2
Bolívar,Santa Rosa Del Sur,13688,No,110
Cesar,Pailitas,20517,No,334
Cesar,Astrea,20032,No,78
Casanare,Yopal,85001,Si,16
Meta,Fuente De Oro,50287,Si,4
Sucre,La Unión,70400,No,4
Bolívar,Mahates,13433,Si,8
Santander,Villanueva,68872,No,2
Norte Santander,Hacarí,54344,No,58
Meta,Mapiripán,50325,Si,136
Cundinamarca,Bituima,25095,No,9
Nariño,Ancuyá,52036,Si,3
Antioquia,Argelia,05055,No,322
Cundinamarca,Quetame,25594,No,4
Risaralda,Marsella,66440,No,4
Magdalena,Guamal,47318,Si,2
Cesar,Gamarra,20295,Si,2
Antioquia,Cáceres,05120,Si,103
Córdoba,San Carlos,23678,No,7
Antioquia,Ebéjico,05240,No,7
Tolima,Santa Isabel,73686,No,38
Santander,Simacota,68745,Si,32
Vaupés,Mitú,97001,No,53
Santander,Vélez,68861,Si,2
Meta,Villavicencio,50001,No,205
Córdoba,Canalete,23090,Si,16
Bolívar,San Estanislao,13647,No,41
Nariño,La Llanada,52385,No,84
Santander,Cabrera,68121,No,1
Antioquia,Necoclí,05490,Si,87
Antioquia,Tarso,05792,Si,0
Vaupés,Carurú,97161,Si,10
Santander,Los Santos,68418,No,4
Caquetá,San José Del Fragua,18610,Si,23
Magdalena,Sabanas de San Ángel,47660,Si,57
Cundinamarca,Soacha,25754,No,42
Caquetá,San Vicente Del Caguán,18753,Si,128
Santander,Encino,68264,No,3
Norte Santander,Cucutilla,54223,No,14
Guaviare,El Retorno,95025,Si,36
Bolívar,Talaigua Nuevo,13780,Si,1
Cundinamarca,Puerto Salgar,25572,No,27
Norte Santander,San Cayetano,54673,No,7
Cauca,Miranda,19455,Si,9
Huila,Tarqui,41791,Si,1
Atlántico,Malambo,08433,Si,0
Huila,Guadalupe,41319,No,23
Cundinamarca,Quebradanegra,25592,No,8
Antioquia,La Pintada,05390,No,7
Cauca,Silvia,19743,No,48
Sucre,Sincé,70742,No,35
Norte Santander,La Esperanza,54385,No,126
Huila,Hobo,41349,No,12
Boyacá,Pajarito,15518,No,39
