DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,DiscapacidadDelSolicitante,NumeroDeTitularesConAlgunaDiscapacidad
Córdoba,Tuchín,23815,No,0
Santander,Galán,68296,No,7
Antioquia,Anorí,05040,Si,19
Atlántico,Suan,08770,Si,1
Meta,San Juanito,50686,Si,2
Caldas,Pácora,17513,No,29
Casanare,La Salina,85136,No,6
Risaralda,Quinchía,66594,Si,46
Nariño,Chachagüí,52240,No,5
Cauca,Inzá,19355,No,78
Chocó,Alto Baudó,27025,Si,8
Cauca,Jambaló,19364,Si,7
Caquetá,Puerto Rico,18592,No,468
Atlántico,Tubará,08832,Si,9
Santander,San Gil,68679,No,4
Santander,Charalá,68167,No Reporta,2
Cesar,González,20310,No,1
Bolívar,Santa Rosa,13683,No,18
Cundinamarca,Supatá,25777,No,1
Tolima,Melgar,73449,No,8
Magdalena,Tenerife,47798,No,134
Magdalena,Ariguaní,47058,No,91
Caldas,Supía,17777,Si,2
Nariño,Ancuyá,52036,No,16
Antioquia,Abejorral,05002,Si,6
Valle Del Cauca,La Cumbre,76377,Si,9
Sucre,Los Palmitos,70418,No,141
Meta,El Calvario,50245,No,21
Antioquia,Valdivia,05854,No,118
Santander,San Andrés,68669,No,9
Boyacá,Jericó,15368,Si,1
La Guajira,Villanueva,44874,No,63
Guaviare,San José Del Guaviare,95001,Si,96
Boyacá,Tota,15822,Si,1
Huila,Yaguará,41885,No,1
Casanare,Yopal,85001,No,147
Casanare,Paz De Ariporo,85250,No,92
Risaralda,Mistrató,66456,Si,11
Antioquia,Urrao,05847,No,164
Meta,Acacías,50006,Si,43
Cesar,La Paz,20621,Si,30
Nariño,Policarpa,52540,Si,38
Huila,Isnos,41359,No,47
Antioquia,San Carlos,05649,Si,160
Antioquia,Guarne,05318,Si,2
Norte Santander,Hacarí,54344,Si,14
Antioquia,Hispania,05353,No,2
Santander,Puerto Parra,68573,No,149
Risaralda,Santuario,66687,No,48
Bolívar,Arroyohondo,13062,No,11
Antioquia,Tarazá,05790,No,518
Casanare,Trinidad,85430,No,70
Valle Del Cauca,Versalles,76863,Si,7
Antioquia,Santa Rosa De Osos,05686,No,18
Córdoba,Sahagún,23660,No,6
Nariño,Cuaspud,52224,Si,1
Caquetá,Florencia,18001,No,493
Boyacá,Guayatá,15325,Si,1
Antioquia,Cañasgordas,05138,No,111
Boyacá,Labranzagrande,15377,No,41
Norte Santander,Chinácota,54172,No,7
Guaviare,Calamar,95015,No,173
Tolima,Prado,73563,Si,12
Quindío,La Tebaida,63401,No,7
Santander,El Carmen De Chucurí,68235,No,294
Nariño,Ipiales,52356,Si,18
Sucre,El Roble,70233,No,31
Santander,Oiba,68500,Si,0
Nariño,Samaniego,52678,No,102
Meta,San Juanito,50686,No,11
Chocó,El Litoral Del San Juan,27250,No,26
Casanare,Aguazul,85010,Si,18
Caquetá,Albania,18029,Si,4
Antioquia,Carolina,05150,No,1
Huila,Agrado,41013,No,4
Antioquia,Ciudad Bolívar,05101,No,31
Nariño,Iles,52352,No,1
Tolima,Herveo,73347,No,38
Córdoba,San Pelayo,23686,No,4
Huila,Elías,41244,No,1
Cundinamarca,Chocontá,25183,No,1
Nariño,El Tambo,52260,Si,0
Bolívar,San Juan Nepomuceno,13657,Si,41
Meta,Puerto Rico,50590,No,613
Amazonas,Puerto Arica,91536,No,2
Huila,Baraya,41078,Si,25
Boyacá,Pesca,15542,No,4
Norte Santander,La Esperanza,54385,Si,12
Cesar,Chiriguaná,20178,No,214
Tolima,San Antonio,73675,No,234
La Guajira,Fonseca,44279,Si,6
Cundinamarca,San Juan De Río Seco,25662,No,37
Nariño,Contadero,52210,No,2
Magdalena,Salamina,47675,No,124
Cundinamarca,Anolaima,25040,No,6
Nariño,Sandoná,52683,Si,1
Bolívar,Hatillo De Loba,13300,No,29
Nariño,La Unión,52399,No,324
Vaupés,Taraira,97666,No,1
Santander,Carcasí,68152,No,3
Cundinamarca,Medina,25438,Si,15
Sucre,Sincelejo,70001,No,74
Valle Del Cauca,Cartago,76147,Si,1
Arauca,Fortul,81300,Si,7
Cauca,Guachené,19300,No,2
La Guajira,Uribia,44847,Si,1
Santander,Barrancabermeja,68081,Si,82
Cundinamarca,Viotá,25878,Si,13
Antioquia,Belmira,05086,No,5
Santander,Rionegro,68615,No,221
Boyacá,Turmequé,15835,No,1
Meta,Vistahermosa,50711,No,778
Santander,California,68132,Si,3
Cundinamarca,Albán,25019,Si,1
Cesar,Pueblo Bello,20570,No,191
Valle Del Cauca,Caicedonia,76122,Si,1
Caldas,La Merced,17388,No,13
La Guajira,La Jagua Del Pilar,44420,Si,4
Nariño,El Rosario,52256,No,356
Nariño,Pasto,52001,Si,36
San Andrés,San Andrés,88001,No,1
Cauca,Santander De Quilichao,19698,No,193
Arauca,Cravo Norte,81220,No,63
Nariño,Roberto Payán,52621,No,122
Nariño,Linares,52411,Si,2
Cundinamarca,El Colegio,25245,No,7
Tolima,Herveo,73347,Si,18
Meta,Puerto López,50573,No,219
Cundinamarca,Medina,25438,No,124
Santander,Capitanejo,68147,No,7
Antioquia,Caucasia,05154,Si,39
Arauca,Arauquita,81065,No,347
Guainía,Barranco Minas,94343,Si,3
Atlántico,Juan De Acosta,08372,Si,1
Tolima,Falán,73270,Si,7
Magdalena,Plato,47555,Si,23
Magdalena,Puebloviejo,47570,No,242
Putumayo,Colón,86219,No,4
Risaralda,Pereira,66001,Si,8
Santander,Cerrito,68162,Si,1
Boyacá,Moniquirá,15469,Si,1
Antioquia,Vegachí,05858,No,96
Cesar,Pelaya,20550,No,355
Cauca,Sucre,19785,Si,9
Antioquia,Salgar,05642,No,76
Antioquia,Guatapé,05321,Si,2
Nariño,Yacuanquer,52885,No,2
Quindío,Filandia,63272,Si,1
Huila,Timaná,41807,No,4
Santander,Zapatoca,68895,No,34
Nariño,Puerres,52573,Si,2
Chocó,Cértegui,27160,Si,1
Bolívar,Morales,13473,No,99
Antioquia,Cocorná,05197,No,276
Antioquia,Retiro,05607,Si,1
Santander,Albania,68020,Si,1
Sucre,Sincé,70742,Si,3
Putumayo,Puerto Guzmán,86571,Si,195
Arauca,Saravena,81736,No,147
Chocó,El Cantón Del San Pablo,27135,Si,2
Cundinamarca,Mosquera,25473,No,1
Cauca,Suárez,19780,Si,12
Bolívar,Arenal,13042,Si,4
Casanare,Chameza,85015,Si,1
Cundinamarca,Villagómez,25871,No,6
Bolívar,Arroyohondo,13062,Si,3
Boyacá,Cuítiva,15226,Si,8
Risaralda,Balboa,66075,No,5
Cauca,Caldono,19137,No,49
Cundinamarca,Sasaima,25718,Si,4
Antioquia,San Pedro de Urabá,05665,No,339
Boyacá,Toguouí,15816,Si,1
Huila,Gigante,41306,No,88
Bolívar,Pinillos,13549,Si,3
Caldas,Risaralda,17616,Si,2
Chocó,Lloró,27413,Si,2
Atlántico,Repelón,08606,Si,4
Antioquia,Andes,05034,Si,5
Antioquia,Abejorral,05002,No,67
Nariño,Cumbal,52227,Si,11
Caldas,Anserma,17042,No,61
Santander,Betulia,68092,Si,10
Cundinamarca,Tena,25797,No,2
Putumayo,Valle Del Guamuez,86865,Si,190
Valle Del Cauca,El Cerrito,76248,No,27
Chocó,Bajo Baudó,27077,Si,2
Tolima,Murillo,73461,Si,2
Norte Santander,Villa Del Rosario,54874,No,47
Valle Del Cauca,Toro,76823,No,15
Santander,Floridablanca,68276,No,15
Boyacá,Santa Sofía,15696,No,1
Norte Santander,La Playa,54398,No,29
Caquetá,Valparaíso,18860,No,238
Chocó,San José Del Palmar,27660,No,158
Risaralda,Belén De Umbría,66088,No,46
Valle Del Cauca,El Cairo,76246,Si,7
Valle Del Cauca,Dagua,76233,No,253
Córdoba,Moñitos,23500,No,15
Boyacá,Gachantivá,15293,No,2
Bolívar,Achí,13006,No,105
Cauca,Toribio,19821,No,51
Cundinamarca,Cachipay,25123,Si,1
Nariño,Santa Bárbara,52696,No,386
Quindío,Pijao,63548,Si,1
Santander,Guaca,68318,No,8
Nariño,Cuaspud,52224,No,2
Cundinamarca,Silvania,25743,Si,6
Córdoba,Montería,23001,No Reporta,4
Tolima,Lérida,73408,Si,29
Casanare,Tauramena,85410,Si,25
Cundinamarca,Anapoima,25035,Si,1
Cundinamarca,Gachetá,25297,No,4
Risaralda,Apía,66045,No,30
Santander,Tona,68820,Si,6
Cesar,La Gloria,20383,Si,55
Casanare,Nunchía,85225,No,62
Chocó,Unguía,27800,No,193
Boyacá,Jenesano,15367,No,0
Cundinamarca,Nilo,25488,Si,1
Tolima,Roncesvalles,73622,Si,22
Putumayo,Valle Del Guamuez,86865,No,1795
Norte Santander,Chitagá,54174,Si,1
Nariño,Policarpa,52540,No,479
Antioquia,Santa Bárbara,05679,Si,5
Nariño,Pupiales,52585,No,1
Boyacá,Samacá,15646,No,1
Boyacá,Chitaraque,15185,No,1
Boyacá,Covarachía,15218,No,1
Bolívar,Morales,13473,Si,13
Santander,Socorro,68755,No,2
Sucre,Santiago De Tolú,70820,Si,4
Caquetá,La Montañita,18410,No,392
Santander,San Miguel,68686,Si,1
Caquetá,El Paujil,18256,Si,13
Atlántico,Santo Tomás,08685,No,1
Antioquia,Alejandría,05021,No,32
Chocó,Quibdó,27001,No,137
Boyacá,Campohermoso,15135,Si,0
Nariño,Córdoba,52215,No,7
Huila,Saladoblanco,41660,No,35
Casanare,Támara,85400,Si,7
Risaralda,Guática,66318,No,47
Cundinamarca,Yacopí,25885,No,249
Guaviare,Miraflores,95200,No,647
Valle Del Cauca,Argelia,76054,No,6
Putumayo,Villa Garzón,86885,No,556
Boyacá,Chiscas,15180,Si,2
Antioquia,Abriaquí,05004,No,15
Caquetá,Cartagena Del Chairá,18150,No,862
Caldas,Risaralda,17616,No,13
Magdalena,Pivijay,47551,Si,90
Arauca,Saravena,81736,Si,30
Antioquia,Puerto Triunfo,05591,Si,6
Boyacá,Muzo,15480,No,17
Santander,Jesús María,68368,No,4
Caldas,Neira,17486,Si,1
Boyacá,Almeida,15022,Si,0
Nariño,Francisco Pizarro,52520,Si,3
Cesar,El Paso,20250,No,85
Cauca,Rosas,19622,Si,17
Cundinamarca,Agua De Dios,25001,Si,2
Cundinamarca,Caqueza,25151,No,4
Cundinamarca,Pasca,25535,Si,4
Cundinamarca,Facatativá,25269,Si,1
Cundinamarca,Topaipí,25823,Si,12
Cauca,Sotará,19760,Si,3
Huila,Pital,41548,No,2
Guainía,Barranco Minas,94343,No,42
Risaralda,Pereira,66001,No,52
Santander,El Guacamayo,68245,Si,1
Arauca,Puerto Rondón,81591,No,68
Nariño,El Charco,52250,Si,15
Santander,Puerto Parra,68573,Si,16
Magdalena,Guamal,47318,No,13
Chocó,Nuquí,27495,Si,2
Atlántico,Santo Tomás,08685,Si,1
Caquetá,Solita,18785,No,108
Tolima,Flandes,73275,Si,0
Santander,Contratación,68211,No,1
Valle Del Cauca,El Aguila,76243,Si,5
Córdoba,Planeta Rica,23555,Si,3
Boyacá,Tipacoque,15810,No,1
Bolívar,Regidor,13580,Si,3
Santander,Santa Bárbara,68705,Si,1
Cesar,Valledupar,20001,No,1088
Meta,San Carlos De Guaroa,50680,No,22
Antioquia,El Santuario,05697,Si,2
Cundinamarca,San Juan De Río Seco,25662,Si,5
Quindío,Armenia,63001,No,26
Cundinamarca,Venecia,25506,Si,4
Tolima,Suárez,73770,Si,1
Cauca,Sotará,19760,No,42
Santander,Hato,68344,Si,1
Huila,La Argentina,41378,No,11
Boyacá,Chita,15183,Si,2
La Guajira,Villanueva,44874,Si,12
Casanare,Orocué,85230,Si,9
Antioquia,Envigado,05266,No,12
Caldas,La Merced,17388,Si,1
Boyacá,Umbita,15842,No,3
La Guajira,La Jagua Del Pilar,44420,No,9
Chocó,Condoto,27205,Si,3
Nariño,El Peñol,52254,Si,3
Córdoba,Chinú,23182,Si,3
Antioquia,Frontino,05284,No,163
Cundinamarca,Cogua,25200,No,1
Bolívar,Clemencia,13222,Si,8
Córdoba,Ciénaga De Oro,23189,Si,2
Valle Del Cauca,Pradera,76563,Si,10
Quindío,Salento,63690,No,6
Magdalena,San Zenón,47703,Si,1
La Guajira,Urumita,44855,Si,2
Tolima,Saldaña,73671,No,9
Bolívar,Achí,13006,Si,9
Boyacá,El Cocuy,15244,Si,1
Cauca,Jambaló,19364,No,13
Caquetá,Puerto Rico,18592,Si,95
Risaralda,Pueblo Rico,66572,Si,41
Sucre,Caimito,70124,No,5
Sucre,Los Palmitos,70418,Si,16
Nariño,Sandoná,52683,No,14
Santander,Guadalupe,68320,No,1
Huila,Teruel,41801,Si,6
Antioquia,Mutatá,05480,Si,82
Quindío,Calarcá,63130,Si,5
Antioquia,El Bagre,05250,Si,82
Antioquia,El Santuario,05697,No,18
Antioquia,Caicedo,05125,Si,2
Caldas,Belalcázar,17088,No,9
Atlántico,Campo De La Cruz,08137,No,1
Boyacá,Pauna,15531,Si,3
Santander,Guaca,68318,Si,3
Antioquia,Guatapé,05321,No,18
Magdalena,Santa Marta,47001,Si,69
La Guajira,Maicao,44430,Si,11
Nariño,Ricaurte,52612,Si,13
Antioquia,Puerto Triunfo,05591,No,66
Cundinamarca,Zipaquirá,25899,No,6
Antioquia,Granada,05313,No,891
Sucre,El Roble,70233,Si,2
Boyacá,Muzo,15480,Si,2
Bolívar,Río Viejo,13600,No,43
Sucre,Guaranda,70265,Si,2
Valle Del Cauca,El Dovio,76250,Si,14
Santander,Bucaramanga,68001,Si,12
Antioquia,Vigía Del Fuerte,05873,No Reporta,1
Boyacá,Soatá,15753,No,1
Córdoba,Canalete,23090,No,101
Cundinamarca,Beltrán,25086,Si,0
Nariño,San Pedro De Cartago,52694,No,4
Tolima,Ataco,73067,Si,149
Boyacá,Mongua,15464,No,5
Chocó,El Litoral Del San Juan,27250,Si,1
Meta,Cabuyaro,50124,Si,7
Casanare,Hato Corozal,85125,Si,20
Sucre,San Benito Abad,70678,No,80
Norte Santander,Cúcuta,54001,Si,83
Magdalena,Zapayán,47960,Si,6
Atlántico,Sabanalarga,08638,Si,3
Antioquia,Granada,05313,Si,138
Norte Santander,El Carmen,54245,Si,18
Boyacá,Zetaquira,15897,No,2
Caquetá,Solita,18785,Si,28
Casanare,Recetor,85279,No,16
Antioquia,San Roque,05670,Si,19
Antioquia,Pueblorrico,05576,Si,4
Valle Del Cauca,La Cumbre,76377,No,40
Antioquia,Marinilla,05440,Si,1
Santander,Guouepsa,68327,No,1
Bolívar,Arenal,13042,No,31
Sucre,Buenavista,70110,Si,2
Boyacá,Floresta,15276,No,1
Quindío,Buenavista,63111,No,2
Valle Del Cauca,Bugalagrande,76113,Si,20
Quindío,Filandia,63272,No,1
Risaralda,Santuario,66687,Si,5
Tolima,Planadas,73555,No,354
Norte Santander,Lourdes,54418,Si,1
Antioquia,Arboletes,05051,No,501
Antioquia,Jericó,05368,No,7
Huila,Tesalia,41797,Si,1
Antioquia,Puerto Berrío,05579,No,75
Atlántico,Piojó,08549,Si,4
Cundinamarca,Cabrera,25120,No,25
Cauca,Timbío,19807,No,175
Huila,Agrado,41013,Si,1
Cundinamarca,Yacopí,25885,Si,35
Santander,Chipatá,68179,Si,1
Antioquia,Turbo,05837,Si,235
Caldas,Salamina,17653,No,73
Antioquia,Betania,05091,Si,6
Antioquia,San Luis,05660,Si,34
Huila,Palermo,41524,No,38
Huila,Altamira,41026,Si,1
Antioquia,San Roque,05670,No,218
Valle Del Cauca,Bugalagrande,76113,No,273
Nariño,Colón,52203,No,66
Cauca,Bolívar,19100,No,237
Valle Del Cauca,El Dovio,76250,No,114
Boyacá,Pisba,15550,No,4
Santander,Cimitarra,68190,Si,54
Putumayo,Puerto Asís,86568,Si,98
Norte Santander,Ocaña,54498,No,207
Norte Santander,Puerto Santander,54553,Si,1
Cauca,Morales,19473,No,154
Nariño,El Tablón De Gómez,52258,No,1077
Tolima,Ibagué,73001,Si,47
Norte Santander,Gramalote,54313,No,1
Santander,Los Santos,68418,Si,1
Bolívar,El Guamo,13248,Si,11
Tolima,Planadas,73555,Si,58
Bolívar,Villanueva,13873,Si,25
Norte Santander,Tibú,54810,Si,233
Norte Santander,Bucarasica,54109,No,25
Antioquia,Caramanta,05145,Si,3
Cundinamarca,Junín,25372,Si,1
Putumayo,San Miguel,86757,Si,97
Nariño,Potosí,52560,Si,1
Meta,El Calvario,50245,Si,5
Quindío,La Tebaida,63401,Si,1
Nariño,Funes,52287,No,12
Caldas,La Dorada,17380,No,55
Antioquia,Copacabana,05212,No,21
Antioquia,La Estrella,05380,Si,1
Santander,Aratoca,68051,No,1
Huila,Nátaga,41483,No,39
Santander,Gambita,68298,Si,1
Caldas,Filadelfia,17272,Si,2
Cesar,Bosconia,20060,Si,7
Magdalena,Salamina,47675,Si,12
Tolima,Villarrica,73873,No,112
Boyacá,Paya,15533,No,32
Santander,Onzaga,68502,Si,3
Magdalena,Tenerife,47798,Si,39
Cundinamarca,Funza,25286,No,5
Casanare,Támara,85400,No,33
Boyacá,El Espino,15248,Si,1
Antioquia,Jardín,05364,Si,1
Antioquia,San Vicente,05674,Si,3
Bolívar,Río Viejo,13600,Si,8
Boyacá,Miraflores,15455,Si,1
Bolívar,Cartagena,13001,No,192
Norte Santander,Teorama,54800,No,77
Caldas,Chinchiná,17174,Si,1
Antioquia,MEDELLÍN,05001,No,887
Valle Del Cauca,Tuluá,76834,Si,64
Valle Del Cauca,Versalles,76863,No,9
Huila,Rivera,41615,No,20
Santander,San Vicente De Chucurí,68689,No,293
Caldas,San José,17665,No,5
Quindío,Montenegro,63470,Si,2
Santander,San Benito,68673,No,2
Córdoba,Lorica,23417,No,21
Santander,Chima,68176,No,8
La Guajira,Manaure,44560,No,1
Antioquia,Santo Domingo,05690,Si,5
Nariño,Nariño,52480,No,1
Antioquia,Jardín,05364,No,5
Boyacá,Paipa,15516,No,1
Cauca,Suárez,19780,No,96
Cundinamarca,Uutica,25851,Si,2
Boyacá,El Espino,15248,No,7
Meta,Villavicencio,50001,Si,26
Córdoba,Montería,23001,Si,110
Tolima,Dolores,73236,No,154
Cundinamarca,La Palma,25394,Si,66
Caldas,La Dorada,17380,Si,4
Valle Del Cauca,La Unión,76400,Si,2
Huila,La Plata,41396,Si,18
Nariño,Potosí,52560,No,11
Nariño,Linares,52411,No,40
Antioquia,Campamento,05134,Si,4
Antioquia,Gómez Plata,05310,Si,3
Putumayo,Orito,86320,No,984
Valle Del Cauca,Palmira,76520,No,96
Boyacá,Chiquinquirá,15176,Si,1
Boyacá,Aquitania,15047,Si,7
Meta,El Castillo,50251,No,406
Tolima,Valle De San Juan,73854,No,123
Antioquia,Carepa,05147,Si,37
Córdoba,Tierralta,23807,Si,78
Santander,Santa Helena Del Opón,68720,No,18
Córdoba,Buenavista,23079,No,31
Cundinamarca,El Rosal,25260,No,1
Bolívar,Zambrano,13894,Si,33
Cundinamarca,Arbeláez,25053,No,34
Cundinamarca,La Mesa,25386,Si,2
Chocó,Alto Baudó,27025,No,23
Cundinamarca,Gutiérrez,25339,No,6
La Guajira,Fonseca,44279,No,40
Huila,Pitalito,41551,No,74
Cundinamarca,Fomeque,25279,Si,2
Norte Santander,Abrego,54003,Si,41
Antioquia,Argelia,05055,Si,56
Cundinamarca,Nocaima,25491,No,1
Antioquia,Rionegro,05615,No,21
Quindío,Córdoba,63212,Si,1
Caldas,Villamaría,17873,Si,2
Antioquia,Yolombó,05890,Si,10
Córdoba,San Antero,23672,Si,1
Cundinamarca,Guatavita,25326,No,0
Santander,Landázuri,68385,Si,13
Boyacá,Mongua,15464,Si,2
Chocó,Riosucio,27615,Si,157
Norte Santander,Salazar,54660,No,17
Sucre,San Juan De Betulia,70702,Si,2
Tolima,Rovira,73624,Si,40
Valle Del Cauca,Sevilla,76736,No,68
Córdoba,Montelíbano,23466,Si,26
Antioquia,Yolombó,05890,No,113
Sucre,Santiago De Tolú,70820,No,31
Norte Santander,Arboledas,54051,No,50
Antioquia,Venecia,05861,Si,1
Tolima,Anzoátegui,73043,Si,22
Antioquia,Frontino,05284,Si,14
Amazonas,Puerto Santander,91669,Si,2
Nariño,San Bernardo,52685,Si,1
Chocó,Unión Panamericana,27810,No,10
Chocó,Sipí,27745,Si,1
Nariño,La Tola,52390,No,25
Bolívar,Mompós,13468,Si,1
Córdoba,Chinú,23182,No,13
Chocó,Atrato,27050,No,10
Norte Santander,Sardinata,54720,No,258
Tolima,Prado,73563,No,125
Meta,San Martín,50689,No,186
Chocó,Bahía Solano,27075,Si,4
Antioquia,Remedios,05604,No,170
Atlántico,Soledad,08758,Si,4
Quindío,Córdoba,63212,No,19
Cauca,Villa Rica,19845,No,7
Caldas,Viterbo,17877,No,7
Valle Del Cauca,Yumbo,76892,No,8
Santander,Hato,68344,No,8
Córdoba,Ayapel,23068,No,115
Boyacá,Maripí,15442,No,5
Tolima,Ortega,73504,No,222
Vichada,Cumaribo,99773,Si,87
Antioquia,Cisneros,05190,No,2
Cauca,López,19418,No,110
Cesar,González,20310,Si,2
Santander,Chima,68176,Si,2
Chocó,Medio Atrato,27425,No,26
Córdoba,San Antero,23672,No,5
Boyacá,Ramiriquí,15599,No,1
Antioquia,Maceo,05425,No,78
Norte Santander,Santiago,54680,No,6
Nariño,Samaniego,52678,Si,7
Antioquia,Cisneros,05190,Si,1
Magdalena,Santa Marta,47001,No,541
Cundinamarca,Villa De San Diego De Ubaté,25843,No,1
Tolima,Rioblanco,73616,No,674
Cauca,La Sierra,19392,Si,10
Cauca,Puerto Tejada,19573,No,14
Boyacá,Pajarito,15518,Si,2
La Guajira,Hatonuevo,44378,No,5
Tolima,Rovira,73624,No,210
Arauca,Fortul,81300,No,58
Antioquia,Pueblorrico,05576,No,13
Antioquia,San Pedro de Urabá,05665,Si,25
La Guajira,Barrancas,44078,Si,14
Meta,El Dorado,50270,No,210
Santander,Rionegro,68615,Si,36
Tolima,Venadillo,73861,No,99
Cauca,Buenos Aires,19110,Si,25
Atlántico,Piojó,08549,No,84
Nariño,Buesaco,52110,No,70
Antioquia,Montebello,05467,Si,36
Santander,Charta,68169,No,17
Huila,Garzón,41298,Si,17
Tolima,Casabianca,73152,Si,12
Cesar,La Paz,20621,No,205
Santander,Guavatá,68324,No,3
Santander,Cimitarra,68190,No,309
Antioquia,San Carlos,05649,No,1478
Atlántico,Candelaria,08141,No,1
Antioquia,Uramita,05842,Si,5
Caldas,Aguadas,17013,Si,13
La Guajira,Riohacha,44001,Si,27
Antioquia,Don Matías,05237,No,6
Cesar,Chimichagua,20175,Si,20
Caldas,Belalcázar,17088,Si,2
Valle Del Cauca,La Victoria,76403,Si,1
Norte Santander,Labateca,54377,No,6
Antioquia,MEDELLÍN,05001,No Reporta,4
Casanare,Nunchía,85225,Si,12
Cauca,Inzá,19355,No Reporta,2
Cesar,Manaure,20443,Si,9
Cauca,Caloto,19142,Si,8
Valle Del Cauca,Palmira,76520,Si,37
Cauca,Almaguer,19022,Si,6
Bolívar,El Carmen De Bolívar,13244,No Reporta,1
Cundinamarca,Yacopí,25885,No Reporta,0
Tolima,Chaparral,73168,Si,69
Tolima,Armero,73055,No,54
Valle Del Cauca,El Cerrito,76248,Si,5
Valle Del Cauca,Yumbo,76892,Si,1
Santander,Concepción,68207,No,21
Antioquia,Concordia,05209,No,33
Risaralda,La Celia,66383,No,29
Arauca,Tame,81794,Si,62
Magdalena,Chibolo,47170,No,364
Cundinamarca,Nimaima,25489,Si,2
Caldas,Victoria,17867,Si,13
Cauca,Rosas,19622,No,113
Cundinamarca,La Calera,25377,No,3
Valle Del Cauca,Riofrío,76616,Si,16
La Guajira,Barrancas,44078,No,115
Nariño,San Pablo,52693,Si,4
Tolima,Santa Isabel,73686,Si,8
Caldas,Riosucio,17614,No,59
Valle Del Cauca,Roldanillo,76622,Si,2
Putumayo,Villa Garzón,86885,Si,94
Caquetá,San José Del Fragua,18610,No,181
Cesar,Tamalameque,20787,No,143
Magdalena,Zona Bananera,47980,No,353
Huila,Santa María,41676,No,31
Antioquia,Nariño,05483,Si,29
Meta,Mapiripán,50325,No,1250
Antioquia,Armenia,05059,Si,1
Caquetá,Milán,18460,No,157
Boyacá,Otanche,15507,Si,5
Cauca,La Vega,19397,No,272
Antioquia,MEDELLÍN,05001,Si,172
Boyacá,Panqueba,15522,No,1
Nariño,Albán,52019,Si,5
Cundinamarca,Gama,25299,No,2
Cundinamarca,Guataquí,25324,No,10
Córdoba,Pueblo Nuevo,23570,Si,25
Antioquia,Vigía Del Fuerte,05873,Si,5
Cundinamarca,Chipaque,25178,No,8
